
2013-12-11 03:14:38,106 INFO     RMDIR: tk103pid_16452
2013-12-11 04:33:55,725 INFO     [PID: 16919] line[0]: ((088011610051BP05000088011610051131211A2834.7123N07715.3079E000.0043339180.9900000000L00A9C2F0))
2013-12-11 04:33:55,726 INFO     [088011610051] Init: imei 088011610051
2013-12-11 04:33:55,726 INFO     [088011610051] Sending the login ACK to 088011610051
2013-12-11 04:33:55,727 DEBUG    [088011610051] send: (088011610051AP05)
2013-12-11 04:33:58,157 INFO     1 Packets in waiting queue
2013-12-11 04:33:59,906 DEBUG    [088011610051] recv((088011610051BR00131211A2834.7123N07715.3079E000.0043349180.9900000000L00A9C2F0))
2013-12-11 04:33:59,907 INFO     [088011610051] line[0]: ((088011610051BR00131211A2834.7123N07715.3079E000.0043349180.9900000000L00A9C2F0))
2013-12-11 04:34:00,173 INFO     1 Packets post failed due to HTTPConnectionPool(host='198.199.77.126', port=9001): Read timed out. (read timeout=2)
2013-12-11 04:34:04,586 DEBUG    [088011610051] recv((088011610051BR00131211A2834.7123N07715.3079E000.0043359180.9900000000L00A9C2F0))
2013-12-11 04:34:04,586 INFO     [088011610051] line[0]: ((088011610051BR00131211A2834.7123N07715.3079E000.0043359180.9900000000L00A9C2F0))
2013-12-11 04:34:05,174 INFO     2 Packets in waiting queue
2013-12-11 04:34:05,177 INFO     0 Packets post failed due to HTTPConnectionPool(host='198.199.77.126', port=9001): Max retries exceeded with url: /dashboard/api/ (Caused by <class 'socket.error'>: [Errno 111] Connection refused)
2013-12-11 04:34:09,864 DEBUG    [088011610051] recv((088011610051BR00131210A2836.0245N07714.1316E000.0142515143.0400000000L00A9AB51))
